"","NATCODE","COD_INE","PROVINCIA","MUN_NAME","POBLACION_MUNI","Area..km2.","POBLACION_CAPITAL","CAI_num","X2020_indGini","X2020_indP80.P20","X2020_indUnitCons.60.","X2020_income_mean_HH","X2020_income_mean_PP","Popul.Density..peopl.km2.","population_log","PV.20kw.capacity","PV.20kw.units","tot_units_PV","tot_cap_PV","cap_PV.20kW","wind.onshore","cogenNG.B_OilCoal","solar_therm","HP_gen","hydro.10MW","hydro.10MW.1","cogenWastBio","other_pow_plans","PoorHousing.","VulnerableAge.","Unemployed.","HigherEdu.","LowEdu.","X2021_POBLACION_MUNI","X..male","X..female","gender.ratio..m.f.","hydro_total","Renewable_profile","Income_level_PP","CCAA","Con_CAI"
"1",34132828079,28079,"Madrid","Madrid",3280782,605.772354,3280782,7,38.1,3.4,17.7,43003,17059,5415.86617206371,6.51597737353067,139600,12,247,8793146,8653546,0,106467400,0,0,0,0,21452000,29800000,15.1591844594502,0.30410889438164,0.501053435190188,0.0547984869299478,0.0072631849416509,3277451,46.6711172798617,53.3288827201383,"0.875156479928231",0,"Cogeneration/Biomass","Medium Income","Comunidad de Madrid","Con CAIs"
"2",34104646250,46250,"València/Valencia","València",792492,139.3405,754558,6,34.3,3.1,19.9,34367,13873,5687.44909053721,5.89899488682242,96200,9,45,5689460,5593260,0,17105000,0,0,0,0,0,0,15.3279111062008,0.313314960410323,0.546451556830921,0.0612400606299751,0.00523450433830478,788842,47.5134437567979,52.4865562432021,"0.9052497850428465",0,"Solar PV","Medium Income","Comunidad Valenciana","Con CAIs"
"3",34123636033,36033,"Pontevedra","Mos",15199,53.29,190,4,24.3,2,13.1,33821,11332,285.21298555076,4.18181501499947,0,0,0,0,0,0,4138000,0,0,0,0,0,0,7.80610245970407,0.310147407212424,0.533072437077962,0.0431813007513091,0.00538817636791379,15196,49.4472229534088,50.5527770465912,"0.9781306951314762",0,"None","Low Income","Galicia","Con CAIs"
"4",34160101046,1046,"Araba/Álava","Erriberagoitia/Ribera Alta",820,119.8185,141,3,30.4,2.4,NA,37028,15844,6.8436844059974,2.91381385238372,0,0,72,850000,850000,0,0,0,0,0,0,0,0,13,0.287092882991556,0.427385892116183,0.0424657534246575,0.00821917808219178,829,57.4185765983112,42.5814234016888,"1.348441926345609",0,"Solar PV","Medium Income","País Vasco","Con CAIs"
"5",34160101901,1901,"Araba/Álava","Iruña Oka/Iruña de Oca",3551,53.235,2478,3,28.4,2.3,NA,37186,14239,66.7042359350052,3.55035067230162,0,0,5,699000,699000,49980000,0,0,0,0,0,0,0,12,0.254393546528378,0.426304654442877,0.046624913013222,0.0170494084899095,3471,52.7225583405359,47.2774416594641,"1.1151736745886653",0,"Wind Onshore","Medium Income","País Vasco","Con CAIs"
"6",34101212040,12040,"Castelló/Castellón","Castelló de la Plana",171857,111.3254,144709,3,32,2.8,19.5,31914,12785,1543.73575123018,5.23516722631589,95000,5,23,4469130,4374130,0,17794000,0,0,0,0,0,54150000,12.168890375937,0.30214264613032,0.52649315707834,0.0550820161252043,0.0071742918946776,172637,48.3077208246204,51.6922791753796,"0.9345248767368893",0,"Solar PV","Medium Income","Comunidad Valenciana","Con CAIs"
"7",34024444050,44050,"Teruel","Calamocha",4485,316.627162,3918,3,28.4,2.5,18.5,29497,11912,14.1649249914952,3.65176244738011,0,0,15,48649900,48649900,0,6564000,0,0,90000,0,0,0,2.44897959183673,0.316356293470945,0.494123931623932,0.0548523206751055,0.00421940928270042,4457,49.4727395108818,50.5272604891182,"0.9791296625222025",90000,"Solar PV","Low Income","Aragón","Con CAIs"
"8",34074747186,47186,"Valladolid","Valladolid",295639,197.3739,290642,3,30.9,2.6,15.3,33294,14247,1497.8626859985,5.47076172460631,172000,23,85,18645145,18473145,0,48210000,0,0,0,0,1955000,2708000,9.03076085481774,0.357736153613344,0.556199393979063,0.0526099152387341,0.00679157265686932,297370,46.8742643844369,53.1257356155631,"0.8823268768198507",0,"Solar PV","Medium Income","Castilla y León","Con CAIs"
"9",34025050297,50297,"Zaragoza","Zaragoza",673010,973.9974,641743,3,30.5,2.6,15.4,34753,14220,690.977203840585,5.82802151728869,0,0,120,31799780,31799780,254600000,116224500,0,0,356000,0,6025000,0,8.76056476251882,0.323107289083251,0.51456379200829,0.055402868846182,0.00311594338546994,681430,47.8693336072671,52.1306663927329,"0.9182566984016169",356000,"Wind Onshore","Medium Income","Aragón","Con CAIs"
"10",34160101059,1059,"Araba/Álava","Vitoria-Gasteiz",253672,276.9839,248315,2,30.9,2.7,NA,35532,15110,915.836624439182,5.40427253298214,475000,19,133,4458030,3983030,0,49665500,0,0,0,0,1369000,0,13.4836803573861,0.330531758864295,0.512049291066929,0.0486271318868788,0.00794270893531639,252953,48.6714923325677,51.3285076674323,"0.9482350947726765",0,"Solar PV","Medium Income","País Vasco","Con CAIs"
